,channelName,url
0,Programming with Mosh,https://www.youtube.com/c/programmingwithmosh/videos
1,Traversy Media,https://www.youtube.com/user/TechGuyWeb
2,Corey Schafer,https://www.youtube.com/user/schafer5
3,Tech With Tim,https://m.youtube.com/channel/UC4JX40jDee_tINbkjycV4Sg
4,Krish Naik,https://www.youtube.com/user/krishnaik06/playlists
5,freeCodeCamp.org,https://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ
6,Hitesh Choudhary,https://www.youtube.com/c/HiteshChoudharydotcom
7,Clever Programmer,https://m.youtube.com/cleverprogrammer?uid=qrILQNl5Ed9Dz6CGMyvMTQ
8,Caleb Curry,https://www.youtube.com/user/CalebTheVideoMaker2
9,programming Hero,https://www.youtube.com/channel/UCStj-ORBZ7TGK1FwtGAUgbQ
10,naveen Reddy,https://www.youtube.com/c/Telusko
11,Code Basics,https://www.youtube.com/c/codebasics
12,Maximilian Schwarzmüller,https://www.youtube.com/channel/UCSJbGtTlrDami-tDGPUV9-w
13,sentdex,https://www.youtube.com/c/sentdex
14,Michael Reeves,https://www.youtube.com/c/MichaelReeves
15,Dani,https://www.youtube.com/c/DaniDev/featured
16,The Coding Train,https://thecodingtrain.com and https://www.youtube.com/c/TheCodingTrain/videos
17,Dennis Ivy,https://www.youtube.com/c/DennisIvy
18,CS Dojo,https://www.youtube.com/channel/UCxX9wt5FWQUAAz4UrysqK9A
19,Code with Harry,https://m.youtube.com/results?search_query=code+with+harry
20,Kalle Hallden,https://www.youtube.com/channel/UCWr0mx597DnSGLFk1WfvSkQ
21,Fireship,https://m.youtube.com/channel/UCsBjURrPoezykLs9EqgamOA
22,Tim Corey,https://www.youtube.com/user/IAmTimCorey
23,TechLead,https://www.youtube.com/channel/UC4xKdmAXFh4ACyhpiQ_3qBw
24,WesBos,https://www.youtube.com/user/wesbos
25,Gajesh S. Naik,https://youtube.com/gajeshsnaik
26,Ben Awad,https://www.youtube.com/c/BenAwad97/featured
27,Codevolution,https://www.youtube.com/ImranSayedDev
28,Hussein Nasser,https://www.youtube.com/c/HusseinNasser-software-engineering
29,Dev Ed,https://www.youtube.com/channel/UClb90NQQcskPUGDIXsQEz5Q
30,Brackeys,https://www.youtube.com/c/Brackeys
31,Rachit Jain,https://www.youtube.com/c/RachitJain
32,Kyle Cook,https://www.youtube.com/c/WebDevSimplified/playlists
33,Scott Hansellman,https://www.youtube.com/user/shanselman
34,PortEXE,https://www.youtube.com/channel/UCjGQyJCSU_VVMTu5nigonqg
35,Joshua Fluke,https://www.youtube.com/user/Tychos1
36,Web Dev Simplified,https://www.youtube.com/c/WebDevSimplified
37,Joma,https://www.youtube.com/channel/UCV0qA-eDDICsRR9rPcnG7tw
38,Tren Black,https://www.youtube.com/channel/UCSSBvqWNPq_qO3_W4EJiOAA
39,Nick Chapsas,https://www.youtube.com/c/Elfocrash
40,CodingEntrepreneurs,https://www.youtube.com/user/CodingEntrepreneurs
41,Programming With ERik,https://www.youtube.com/channel/UCshZ3rdoCLjDYuTR_RBubzw
42,Forest Knight,https://www.youtube.com/channel/UC2WHjPDvbE6O328n17ZGcfg
43,Keith Galli,https://www.youtube.com/c/KGMIT/featured
44,Pretty Printed,https://www.youtube.com/c/PrettyPrintedTutorials
45,Derek Banas,https://www.youtube.com/c/derekbanas
46,The Cherno,https://www.youtube.com/c/TheChernoProject
47,Angelsix,https://www.youtube.com/c/AngelSix
48,CodingWithMitch,https://www.youtube.com/c/CodingWithMitch
49,Chris Hawkes,https://www.youtube.com/user/noobtoprofessional
50,Chris Coyier,https://www.youtube.com/user/realcsstricks
51,Fazt,https://www.youtube.com/channel/UCX9NJ471o7Wie1DQe94RVIg
52,Prajwal NH ,https://www.youtube.com/channel/UCWym_j-OGCzIfz8K4vXtU6g
53,Life of Luba,https://www.youtube.com/channel/UCgzKCeDYLRzPhQ64R6AKyBQ
54,chuck severance,https://m.youtube.com/user/csev
55,Will Kwan,https://www.youtube.com/channel/UCTjPBE9BNsmv44wgxWEy2zw
56,codingphase,https://www.youtube.com/codingphase
57,Pasja informatyki,https://www.youtube.com/c/Pasjainformatykitutoriale
58,Thomas Kim,https://www.youtube.com/channel/UCpQ9kTWohSlFgXIKJmFc4kA
59,Life Of Boris,https://www.youtube.com/c/LifeofBoris
60,Data School,https://www.youtube.com/dataschool
61,Abhishek Thakur ,https://www.youtube.com/c/AbhishekThakurAbhi
62,gaurav sen,https://www.youtube.com/results?search_query=gaurav+sen
63,Ryan Dhungel,https://www.youtube.com/c/narayandhungel
64,RealTough Candy,https://www.youtube.com/channel/UC54NcJvLCvM2CNaBjd5j6HA
65,Papaya Coders,https://youtube.com/papayacoders
66,durga software solutions,https://www.youtube.com/c/DurgaSoftwareSolutions
67,perfect web solutions,https://youtube.com/perfectwebsolutions
