channelName,title,id,kind
Programming with Mosh,Programming with Mosh,UCWv7vMbMWH4-V0ZXdmDpPBA,youtube#channel
Traversy Media,Traversy Media,UC29ju8bIPH5as8OGnQzwJyA,youtube#channel
Corey Schafer,Corey Schafer,UCCezIgC97PvUuR4_gbFUs5g,youtube#channel
Tech With Tim,Tech With Tim,UC4JX40jDee_tINbkjycV4Sg,youtube#channel
Krish Naik,Krish Naik,UCNU_lfiiWBdtULKOw6X0Dig,youtube#channel
freeCodeCamp.org,freeCodeCamp.org,UC8butISFwT-Wl7EV0hUK0BQ,youtube#channel
Hitesh Choudhary,Hitesh Choudhary,UCXgGY0wkgOzynnHvSEVmE3A,youtube#channel
Clever Programmer,Clever Programmer,UCqrILQNl5Ed9Dz6CGMyvMTQ,youtube#channel
Caleb Curry,Caleb Curry,UCZUyPT9DkJWmS_DzdOi7RIA,youtube#channel
programming Hero,Programming Hero,UCStj-ORBZ7TGK1FwtGAUgbQ,youtube#channel
naveen Reddy,Telusko,UC59K-uG2A5ogwIrHw4bmlEg,youtube#channel
Code Basics,codebasics,UCh9nVJoWXmFb7sLApWGcLPQ,youtube#channel
Maximilian Schwarzmüller,Academind,UCSJbGtTlrDami-tDGPUV9-w,youtube#channel
sentdex,sentdex,UCfzlCWGWYyIQ0aLC5w48gBQ,youtube#channel
Michael Reeves,Michael Reeves,UCtHaxi4GTYDpJgMSGy7AeSw,youtube#channel
Dani,Dani,UCIabPXjvT5BVTxRDPCBBOOQ,youtube#channel
The Coding Train,The Coding Train,UCvjgXvBlbQiydffZU7m1_aw,youtube#channel
Dennis Ivy,Dennis Ivy,UCTZRcDjjkVajGL6wd76UnGg,youtube#channel
CS Dojo,CS Dojo,UCxX9wt5FWQUAAz4UrysqK9A,youtube#channel
Code with Harry,CodeWithHarry,UCeVMnSShP_Iviwkknt83cww,youtube#channel
Kalle Hallden,Kalle Hallden,UCWr0mx597DnSGLFk1WfvSkQ,youtube#channel
Fireship,Fireship,UCsBjURrPoezykLs9EqgamOA,youtube#channel
Tim Corey,IAmTimCorey,UC-ptWR16ITQyYOglXyQmpzw,youtube#channel
TechLead,TechLead,UC4xKdmAXFh4ACyhpiQ_3qBw,youtube#channel
WesBos,Wes Bos,UCoebwHSTvwalADTJhps0emA,youtube#channel
Gajesh S. Naik,Gajesh S Naik,UC7PWnwwqMSqAXQkKXqxRkMw,youtube#channel
Ben Awad,Ben Awad,UC-8QAzbLcRglXeN_MY9blyw,youtube#channel
Codevolution,Codevolution,UC80PWRj_ZU8Zu0HSMNVwKWw,youtube#channel
Hussein Nasser,Hussein Nasser,UC_ML5xP23TOWKUcc-oAE_Eg,youtube#channel
Dev Ed,Dev Ed,UClb90NQQcskPUGDIXsQEz5Q,youtube#channel
Brackeys,Brackeys,UCYbK_tjZ2OrIZFBvU6CCMiA,youtube#channel
Rachit Jain,Rachit Jain,UC9fDC_eBh9e_bogw87DbGKQ,youtube#channel
Kyle Cook,Kyle Cook,UC_ov4ZPZej97M9kN1_lgtMg,youtube#channel
Scott Hansellman,Scott Hanselman,UCL-fHOdarou-CR2XUmK48Og,youtube#channel
PortEXE,PortEXE,UCjGQyJCSU_VVMTu5nigonqg,youtube#channel
Joshua Fluke,Joshua Fluke,UC-91UA-Xy2Cvb98deRXuggA,youtube#channel
Web Dev Simplified,Web Dev Simplified,UCFbNIlppjAuEX4znoulh0Cw,youtube#channel
Joma,Joma Tech,UCV0qA-eDDICsRR9rPcnG7tw,youtube#channel
Tren Black,Tren Black,UCSSBvqWNPq_qO3_W4EJiOAA,youtube#channel
Nick Chapsas,Nick Chapsas,UCrkPsvLGln62OMZRO6K-llg,youtube#channel
CodingEntrepreneurs,CodingEntrepreneurs,UCWEHue8kksIaktO8KTTN_zg,youtube#channel
Programming With ERik,Program With Erik,UCshZ3rdoCLjDYuTR_RBubzw,youtube#channel
Forest Knight,ForrestKnight,UC2WHjPDvbE6O328n17ZGcfg,youtube#channel
Keith Galli,Keith Galli,UCq6XkhO5SZ66N04IcPbqNcw,youtube#channel
Pretty Printed,Pretty Printed,UC-QDfvrRIDB6F0bIO4I4HkQ,youtube#channel
Derek Banas,Derek Banas,UCwRXb5dUK4cvsHbx-rGzSgw,youtube#channel
The Cherno,The Cherno,UCQ-W1KE9EYfdxhL6S4twUNw,youtube#channel
Angelsix,AngelSix,UCJ3AxeCHGPZkMi3kRfCuiHw,youtube#channel
CodingWithMitch,CodingWithMitch,UCoNZZLhPuuRteu02rh7bzsw,youtube#channel
Chris Hawkes,Chris Hawkes,UCfV36TX5AejfAGIbtwTc7Zw,youtube#channel
Chris Coyier,Chris Coyier,UCADyUOnhyEoQqrw_RrsGleA,youtube#channel
Fazt,Fazt,UCX9NJ471o7Wie1DQe94RVIg,youtube#channel
Prajwal NH ,IIMB Inventors Inventing Machine Business,UCWym_j-OGCzIfz8K4vXtU6g,youtube#channel
Life of Luba,Life of Luba,UCgzKCeDYLRzPhQ64R6AKyBQ,youtube#channel
chuck severance,Chuck Severance,UChYfrRp_CWyqOt-ZYJGOgmA,youtube#channel
Will Kwan,Will Kwan,UCTjPBE9BNsmv44wgxWEy2zw,youtube#channel
codingphase,CodingPhase,UC46wWUso9H5KPQcoL9iE3Ug,youtube#channel
Pasja informatyki,Pasja informatyki,UCzn6vAfspIcagLax1fck_jw,youtube#channel
Thomas Kim,Thomas Kim,UCpQ9kTWohSlFgXIKJmFc4kA,youtube#channel
Life Of Boris,Life of Boris,UCS5tt2z_DFvG7-39J3aE-bQ,youtube#channel
Data School,Data School,UCnVzApLJE2ljPZSeQylSEyg,youtube#channel
Abhishek Thakur ,Abhishek Thakur,UCBPRJjIWfyNG4X-CRbnv78A,youtube#channel
gaurav sen,Gaurav Sen,UCRPMAqdtSgd0Ipeef7iFsKw,youtube#channel
Ryan Dhungel,Ryan Dhungel,UCu47q4mYoq9t0bINCWaTsgA,youtube#channel
RealTough Candy,RealToughCandy,UC54NcJvLCvM2CNaBjd5j6HA,youtube#channel
Papaya Coders,Papaya Coders,UCm8jfNyHA7FIrFdYQTOpy0g,youtube#channel
durga software solutions,Durga Software Solutions,UCbjozK_PYCTLEluFlrJ8UZg,youtube#channel
perfect web solutions,Perfect Web Solutions,UCjM2CgqAXgXQuFjJa732IRw,youtube#channel
