channelName,title,channelId,kind,url
Programming with Mosh,Programming with Mosh,UCWv7vMbMWH4-V0ZXdmDpPBA,youtube#channel,https://www.youtube.com/c/programmingwithmosh/videos
Traversy Media,Traversy Media,UC29ju8bIPH5as8OGnQzwJyA,youtube#channel,https://www.youtube.com/user/TechGuyWeb
Corey Schafer,Corey Schafer,UCCezIgC97PvUuR4_gbFUs5g,youtube#channel,https://www.youtube.com/user/schafer5
Tech With Tim,Tech With Tim,UC4JX40jDee_tINbkjycV4Sg,youtube#channel,https://m.youtube.com/channel/UC4JX40jDee_tINbkjycV4Sg
Krish Naik,Krish Naik,UCNU_lfiiWBdtULKOw6X0Dig,youtube#channel,https://www.youtube.com/user/krishnaik06/playlists
freeCodeCamp.org,freeCodeCamp.org,UC8butISFwT-Wl7EV0hUK0BQ,youtube#channel,https://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ
Hitesh Choudhary,Hitesh Choudhary,UCXgGY0wkgOzynnHvSEVmE3A,youtube#channel,https://www.youtube.com/c/HiteshChoudharydotcom
Clever Programmer,Clever Programmer,UCqrILQNl5Ed9Dz6CGMyvMTQ,youtube#channel,https://m.youtube.com/cleverprogrammer?uid=qrILQNl5Ed9Dz6CGMyvMTQ
Caleb Curry,Caleb Curry,UCZUyPT9DkJWmS_DzdOi7RIA,youtube#channel,https://www.youtube.com/user/CalebTheVideoMaker2
programming Hero,Programming Hero,UCStj-ORBZ7TGK1FwtGAUgbQ,youtube#channel,https://www.youtube.com/channel/UCStj-ORBZ7TGK1FwtGAUgbQ
naveen Reddy,Telusko,UC59K-uG2A5ogwIrHw4bmlEg,youtube#channel,https://www.youtube.com/c/Telusko
Code Basics,codebasics,UCh9nVJoWXmFb7sLApWGcLPQ,youtube#channel,https://www.youtube.com/c/codebasics
Maximilian Schwarzmüller,Academind,UCSJbGtTlrDami-tDGPUV9-w,youtube#channel,https://www.youtube.com/channel/UCSJbGtTlrDami-tDGPUV9-w
sentdex,sentdex,UCfzlCWGWYyIQ0aLC5w48gBQ,youtube#channel,https://www.youtube.com/c/sentdex
Michael Reeves,Michael Reeves,UCtHaxi4GTYDpJgMSGy7AeSw,youtube#channel,https://www.youtube.com/c/MichaelReeves
Dani,Dani,UCIabPXjvT5BVTxRDPCBBOOQ,youtube#channel,https://www.youtube.com/c/DaniDev/featured
The Coding Train,The Coding Train,UCvjgXvBlbQiydffZU7m1_aw,youtube#channel,https://thecodingtrain.com and https://www.youtube.com/c/TheCodingTrain/videos
Dennis Ivy,Dennis Ivy,UCTZRcDjjkVajGL6wd76UnGg,youtube#channel,https://www.youtube.com/c/DennisIvy
CS Dojo,CS Dojo,UCxX9wt5FWQUAAz4UrysqK9A,youtube#channel,https://www.youtube.com/channel/UCxX9wt5FWQUAAz4UrysqK9A
Code with Harry,CodeWithHarry,UCeVMnSShP_Iviwkknt83cww,youtube#channel,https://m.youtube.com/results?search_query=code+with+harry
Kalle Hallden,Kalle Hallden,UCWr0mx597DnSGLFk1WfvSkQ,youtube#channel,https://www.youtube.com/channel/UCWr0mx597DnSGLFk1WfvSkQ
Fireship,Fireship,UCsBjURrPoezykLs9EqgamOA,youtube#channel,https://m.youtube.com/channel/UCsBjURrPoezykLs9EqgamOA
Tim Corey,IAmTimCorey,UC-ptWR16ITQyYOglXyQmpzw,youtube#channel,https://www.youtube.com/user/IAmTimCorey
TechLead,TechLead,UC4xKdmAXFh4ACyhpiQ_3qBw,youtube#channel,https://www.youtube.com/channel/UC4xKdmAXFh4ACyhpiQ_3qBw
WesBos,Wes Bos,UCoebwHSTvwalADTJhps0emA,youtube#channel,https://www.youtube.com/user/wesbos
Gajesh S. Naik,Gajesh S Naik,UC7PWnwwqMSqAXQkKXqxRkMw,youtube#channel,https://youtube.com/gajeshsnaik
