,playlistId,title,description,itmCount,channelId
0,PL-osiE80TeTsWmV9i9c58mdDCSskIFdDS,Pandas Tutorials,,11,UCCezIgC97PvUuR4_gbFUs5g
1,PL-osiE80TeTvipOqomVEeZ1HRrcEvtZB_,Matplotlib Tutorials,"In this Python Programming series, we will be learning how to use the Matplotlib library. Matplotlib allows us to create some great looking plots in order to visualize our data in easy to digest formats. This series covers a wide variety of topics such as: customizing our plots, different plot types, plotting live data in real-time, and more.",10,UCCezIgC97PvUuR4_gbFUs5g
2,PL-osiE80TeTtoQCKZ03TU5fNfx2UY6U4p,Django Tutorials,"Python Django Tutorials. In this series, we will be learning how to build a full-featured Django application for scratch. We will learn how to get started with Django, use templates, create a database, upload pictures, create an authentication system, and much much more.",17,UCCezIgC97PvUuR4_gbFUs5g
3,PL-osiE80TeTs4UjLw5MM6OjgkjFeUxCYH,Flask Tutorials,"Python Flask Tutorials. In this series, we will be learning how to build a full-feature Flask application for scratch. We will learn how to get started with Flask, use templates, create a database, upload pictures, create an authentication system, and much much more.",15,UCCezIgC97PvUuR4_gbFUs5g
4,PL-osiE80TeTvviVL0pJGX5mZCo7CAvIuf,Career Advice,"Career Advice for Programmers, Developers, and Software Engineers.",6,UCCezIgC97PvUuR4_gbFUs5g
5,PL-osiE80TeTskrapNbzXhwoFUiLCjGgY7,Python Programming Beginner Tutorials,"In these Python Beginner Tutorials, we will be learning the fundamentals of Python programming from the ground up. We will be learning how to: install/setup Python on Mac and Windows, work with basic data types, write conditionals, write for/while loops, write functions, import modules, and explore the standard library.",26,UCCezIgC97PvUuR4_gbFUs5g
6,PL-osiE80TeTt66h8cVpmbayBKlMTuS55y,Python - Setting up a Python Environment,"Python Development Environment Tutorials. There are many different ways to set up Python Development Environments. In this series, we will go over common setups and customizations.",9,UCCezIgC97PvUuR4_gbFUs5g
7,PL-osiE80TeTsqhIuOqKhwlXsIBIdSeYtc,Python OOP Tutorials - Working with Classes,"Python Object-Oriented Tutorials. In this series, we will be learning how to create classes in Python, and also the best practices for working with these classes. We will go over class/instance variables, inheritance, getters/setters, and much more.",6,UCCezIgC97PvUuR4_gbFUs5g
8,PL-osiE80TeTt9WQbFm0uoXG8CrMy_xj5Z,Channel Updates,Channel Updates for Corey Schafer's YouTube Channel.,6,UCCezIgC97PvUuR4_gbFUs5g
9,PL-osiE80TeTsKOdPrKeSOp4rN3mza8VHN,SQL Tutorials,"SQL Tutorials. An in-depth look at the SQL language. Learn about SQL queries, databases, database design, PostgreSQL, tips and tricks, walkthroughs, best practices, and more.",5,UCCezIgC97PvUuR4_gbFUs5g
10,PL-osiE80TeTvGhHkpvfmKWOiIPF8UVy6c,Linux/Mac Tutorials,"Linux and Mac Tutorials. Mainly we will cover terminal commands and an in-depth look at the shell. These tutorials apply to most Unix-based systems including Linux, Mac OS X, and more. Learn about navigation, running commands, automation, virtual machines, tips and tricks, shortcuts, and other important skills.",18,UCCezIgC97PvUuR4_gbFUs5g
11,PL-osiE80TeTsnP0Nl1UDY8VZAlHu1m_MQ,Programming Terms,"Programming, Computer Science, and Software Development Terms.

In programming and computer science, there are several terms you will hear over and over again. Sometimes it is taken for granted that we know what all of these terms mean, but sometimes that isn't the case. In this series, we will go over these terms and definitions, look at code examples, and equip you with a more broad understanding of programming terminology.",8,UCCezIgC97PvUuR4_gbFUs5g
