,videoId,playlistId,channelId
0,ZyhVh-qRZPA,PL-osiE80TeTsWmV9i9c58mdDCSskIFdDS,UCCezIgC97PvUuR4_gbFUs5g
1,zmdjNSmRXF4,PL-osiE80TeTsWmV9i9c58mdDCSskIFdDS,UCCezIgC97PvUuR4_gbFUs5g
2,W9XjRYFkkyw,PL-osiE80TeTsWmV9i9c58mdDCSskIFdDS,UCCezIgC97PvUuR4_gbFUs5g
3,Lw2rlcxScZY,PL-osiE80TeTsWmV9i9c58mdDCSskIFdDS,UCCezIgC97PvUuR4_gbFUs5g
4,DCDe29sIKcE,PL-osiE80TeTsWmV9i9c58mdDCSskIFdDS,UCCezIgC97PvUuR4_gbFUs5g
5,HQ6XO9eT-fc,PL-osiE80TeTsWmV9i9c58mdDCSskIFdDS,UCCezIgC97PvUuR4_gbFUs5g
6,T11QYVfZoD0,PL-osiE80TeTsWmV9i9c58mdDCSskIFdDS,UCCezIgC97PvUuR4_gbFUs5g
7,txMdrV1Ut64,PL-osiE80TeTsWmV9i9c58mdDCSskIFdDS,UCCezIgC97PvUuR4_gbFUs5g
8,KdmPHEnPJPs,PL-osiE80TeTsWmV9i9c58mdDCSskIFdDS,UCCezIgC97PvUuR4_gbFUs5g
9,UFuo7EHI8zc,PL-osiE80TeTsWmV9i9c58mdDCSskIFdDS,UCCezIgC97PvUuR4_gbFUs5g
10,N6hyN6BW6ao,PL-osiE80TeTsWmV9i9c58mdDCSskIFdDS,UCCezIgC97PvUuR4_gbFUs5g
11,UO98lJQ3QGI,PL-osiE80TeTvipOqomVEeZ1HRrcEvtZB_,UCCezIgC97PvUuR4_gbFUs5g
12,nKxLfUrkLE8,PL-osiE80TeTvipOqomVEeZ1HRrcEvtZB_,UCCezIgC97PvUuR4_gbFUs5g
13,MPiz50TsyF0,PL-osiE80TeTvipOqomVEeZ1HRrcEvtZB_,UCCezIgC97PvUuR4_gbFUs5g
14,xN-Supd4H38,PL-osiE80TeTvipOqomVEeZ1HRrcEvtZB_,UCCezIgC97PvUuR4_gbFUs5g
