,videoId,title,tags,viewCount,likeCount,dislikeCount,commentCount,duration,channelId,date
0,sugvnHA7ElY,Python Tutorial: if __name__ == '__main__',"['Python', 'Programming', 'Computer Science', 'Video Tutorial', 'Tutorial', 'How to', 'How-to', 'Software', 'Software Engineering', 'Development', 'Python (Programming Language)', 'name', 'main', 'Python Tutorial', 'Python Tutorials']",1471483,39704,607,1330,PT8M43S,UCCezIgC97PvUuR4_gbFUs5g,2015-03-23T06:04:35Z
1,ZDa-Z5JzLYM,Python OOP Tutorial 1: Classes and Instances,"['Python', 'Classes', 'Object Oriented', 'OOP', 'Python Classes', 'Python Objects', 'Classes in Python', 'Python OOP', 'Class', 'Python Class', 'init', 'Python init', '__init__', 'Instance', 'Instances', 'Objects', 'Object Oriented Programming', 'Python Tutorial', 'Attributes', 'Methods']",2688184,73312,433,3137,PT15M24S,UCCezIgC97PvUuR4_gbFUs5g,2016-06-20T17:00:03Z
2,jCzT9XFZ5bw,"Python OOP Tutorial 6: Property Decorators - Getters, Setters, and Deleters","['Python', 'Property', 'Python Tutorial', 'Property Decorator', 'Getter', 'Setter', 'Deleter', 'Classes', 'Python Classes', 'Python OOP', 'OOP', 'Object-Oriented Programming', 'Object Oriented', 'Python Property Decorator', 'Python Property', 'Python Getter', 'Python Setter', '@property', 'Python @property']",593299,19994,86,741,PT9M33S,UCCezIgC97PvUuR4_gbFUs5g,2016-08-19T16:30:01Z
3,bD05uGo_sVI,Python Tutorial: Generators - How to use them and the benefits you receive,"['Python (Programming Language)', 'How-to (Website Category)', 'Python Generators', 'Generators', 'Python Tutorials', 'Python Tutorial', 'Python', 'Programming Tutorial', 'Programming Language (Software Genre)', 'Programming Tutorials', 'Video Tutorial', 'Programming', 'Computer Science', 'How to', 'How-to', 'Software', 'Software Engineering', 'Development']",604802,13821,148,564,PT11M14S,UCCezIgC97PvUuR4_gbFUs5g,2015-08-17T16:30:01Z
4,GfxJYp9_nJA,Python Tutorial: Namedtuple - When and why should you use namedtuples?,"['Python', 'Python Tutorials', 'Python Tutorial', 'Python namedtuple', 'namedtuple', 'tuple', 'Python tuple', 'Video Tutorial', 'Programming', 'Computer Science', 'Programming Language', 'How to', 'How-to', 'Software', 'Software Engineering', 'Development', 'Technology', 'Python (Programming Language)']",72179,1965,11,87,PT7M21S,UCCezIgC97PvUuR4_gbFUs5g,2015-07-07T17:30:00Z
5,daefaLgNkw0,Python Tutorial for Beginners 5: Dictionaries - Working with Key-Value Pairs,"['Python', 'Python Dictionary', 'Python dict', 'Hashmap', 'Associative Array', 'Key-Value Pairs', 'Python For Beginners', 'Absolute Beginners', 'Python for Absolute Beginners', 'Python Basics', 'Python Data Types', 'Getting Started with Python', 'Python 3.6', 'Python 36', 'Python 3', 'python dictionary tutorial', 'python', 'dictionaries in python', 'python dictionary', 'python tutorial', 'python 3']",736730,17825,112,623,PT9M59S,UCCezIgC97PvUuR4_gbFUs5g,2017-05-17T17:30:01Z
6,KLEDKgMmbBI,Git Tutorial: Using the Stash Command,"['Git', 'git stash', 'Stash', 'Software (Industry)', 'Software Engineering', 'Programming', 'Git commands', 'Computer Science', 'Video Tutorial', 'How to', 'How-to', 'Software', 'Development', 'Web Development', 'Web Dev', 'Git Tutorial', 'Git Tutorials']",162693,3493,20,164,PT10M33S,UCCezIgC97PvUuR4_gbFUs5g,2015-04-17T14:00:00Z
7,swU3c34d2NQ,Programming Terms: Closures - How to Use Them and Why They Are Useful,"['Closure', 'Closures', 'JavaScript Closures', 'Python Closures', 'Python Decorators', 'First Class Functions', 'First-Class Functions', 'Python', 'JavaScript', 'Programming', 'Programming Terms', 'Functions', 'Callbacks', 'JavaScript Callbacks', 'Python Tutorials', 'JavaScript Tutorials', 'Python Tutorial', 'JavaScript Tutorial', 'Programming Tutorial', 'Computer Science', 'Software Engineering', 'How to', 'How-to', 'Software']",256118,5579,32,247,PT11M44S,UCCezIgC97PvUuR4_gbFUs5g,2016-03-08T18:00:02Z
8,NIWwJbo-9_8,Python Tutorial: Using Try/Except Blocks for Error Handling,"['Python (Programming Language)', 'Python Tutorial', 'Python Tutorials', 'Python for Beginners', 'Exception Handling', 'Python Exception', 'Python Error', 'Python Exceptions', 'Python Errors', 'Python Exception Handling', 'Python Error Handling', 'Python Try', 'Python Try Except', 'Programming Language (Software Genre)', 'Learn Python', 'Programming', 'Programming Tutorials', 'Computer Science (Field Of Study)', 'Software Engineer (Profession)']",379736,7983,59,402,PT10M34S,UCCezIgC97PvUuR4_gbFUs5g,2015-11-13T17:30:00Z
9,rq8cL2XMM5M,Python OOP Tutorial 3: classmethods and staticmethods,"['Python', 'Python Tutorial', 'Python Classes', 'classmethod', 'staticmethod', 'classmethods', 'staticmethods', 'Classes', 'OOP', 'Object Oriented', 'Python Objects', 'Class Variables', 'Class Attributes', 'Class Methods', 'Static Methods', 'Python OOP', 'Class', 'Python Class', 'Decorators', 'Python Decorator', 'classmethod vs staticmethod', 'Object Oriented Programming', '@classmethod', '@staticmethod']",971437,27753,112,874,PT15M20S,UCCezIgC97PvUuR4_gbFUs5g,2016-07-11T16:00:05Z
10,-ARI4Cz-awo,"Python Tutorial: Logging Basics - Logging to Files, Setting Levels, and Formatting","['Python', 'Logging', 'Python Logging', 'Logs', 'Python Logs', 'Logging Module', 'Python Print', 'Print', 'Log Levels', 'Log Formatting', 'Log Files', 'Python for Beginners', 'Programming Tutorials', 'Software Engineering', 'How to', 'How-to', 'Logger', 'Handler', 'Formatter', 'Loggers', 'Root Logger']",276573,7328,35,234,PT14M25S,UCCezIgC97PvUuR4_gbFUs5g,2017-03-15T16:00:00Z
11,6iF8Xb7Z3wQ,Python Tutorial for Beginners 7: Loops and Iterations - For/While Loops,"['Python', 'Python Loops', 'Python Iteration', 'For Loop', 'While Loop', 'Python For', 'Python While', 'Break Continue', 'Python Break Continue', 'Python for Beginners', 'Absolute Beginners', 'Python for Absolute Beginners', 'Python Basics', 'Getting Started with Python', 'Python 3.6', 'Python 36', 'Python 3', 'while loop python', 'python tutorial']",459565,11538,92,363,PT10M14S,UCCezIgC97PvUuR4_gbFUs5g,2017-05-17T18:30:00Z
12,IolxqkL7cD8,Python Quick Tip: Hiding Passwords and Secret Keys in Environment Variables (Windows),"['python', 'environment variables', 'os', 'os module', 'python environment variables', 'windows', 'windows environment variables', 'tutorial', 'python tutorial', 'python 3.6', 'corey schafer', 'password', 'secret key', 'api', 'python hide', 'windows 10']",95768,3596,26,189,PT4M38S,UCCezIgC97PvUuR4_gbFUs5g,2018-02-01T17:30:01Z
13,N5vscPTWKOk,Python Tutorial: virtualenv and why you should use virtual environments,"['Python', 'virtualenv', 'Virtual Environment', 'Virtual Environments', 'Python Packages', 'Programming', 'Computer Science', 'Video Tutorial', 'How to', 'How-to', 'Software', 'Software Engineering', 'Development', 'Web Development', 'Web Dev', 'Python (Programming Language)', 'Python virtualenv', 'Python Tutorial', 'Python Tutorials']",554075,8693,107,473,PT9M45S,UCCezIgC97PvUuR4_gbFUs5g,2015-04-14T05:37:52Z
14,5iWhQWVXosU,Python Quick Tip: Hiding Passwords and Secret Keys in Environment Variables (Mac & Linux),"['python', 'environment variables', 'os', 'os module', 'python environment variables', 'mac', 'linux', 'os x', 'osx', 'environ', 'bash_profile', 'bash profile', 'bashrc', 'tutorial', 'mac os x', 'python tutorial', 'python 3.6', 'corey schafer', 'password', 'secret key', 'api', 'python hide', 'linux environment variables', 'mac environment variables']",94291,2782,18,220,PT4M32S,UCCezIgC97PvUuR4_gbFUs5g,2018-02-01T17:30:00Z
15,3dt4OGnU5sM,Python Tutorial: Comprehensions - How they work and why you should be using them,"['Python (Programming Language)', 'List Comprehensions', 'Python List Comprehensions', 'Comprehensions', 'Python Comprehensions', 'Set Comprehensions', 'Dict Comprehensions', 'Python Tutorials', 'Python Tutorial', 'Python', 'Programming', 'Programming Tutorials', 'Computer Science', 'Software', 'Software Engineering', 'Development', 'Programming Language (Software Genre)', 'How to', 'How-to', 'Video Tutorial', 'Generators', 'Python Generators', 'Generator Expressions']",333799,8296,51,407,PT18M29S,UCCezIgC97PvUuR4_gbFUs5g,2015-08-24T16:30:01Z
